video,accuracy,precision,recall,f1,tp,fp,fn,w,h,square
1080p_20220331_211018_recording_1648744140_1c,0.2395648312611012,0.5441250630358043,0.2997222222222222,0.3865305391366648,1079,904,2521,66.22831727205337,85.70237212750186,5725.91438102298
1080p_20220602_111012_recording_1654092000_c4,0.7997222222222222,1.0,0.7997222222222222,0.8887173946596697,2879,0,721,114.60077339520495,135.64563031709204,15501.194276875483
1080p_20220330_123150_recording_1648628700_1d,0.3795531811559009,0.751081210956271,0.4341666666666666,0.5502552367540926,1563,518,2037,71.18835938971557,89.54699566773404,6414.957807496704
1080p_20220331_175806_recording_1648733160_9c,0.5359633827375763,0.7133739483608935,0.6830555555555555,0.6978856250886902,2459,988,1141,68.34370639129222,87.81188947809099,6021.498046329891
6945730529978,0.0,0.0,0.0,0.0,0,0,4906,67.81011781011782,103.72245322245323,9753.54158004158
7132965636760,0.0,0.0,0.0,0.0,0,0,3600,59.749733380732316,78.29861357980803,5592.4856025595445
atrium_125_3,0.9336384439359268,0.9933049300060864,0.9395509499136442,0.965680473372781,3264,22,210,197.99142317197268,253.51126617240877,50423.019188835584
6816186370656,0.4840277777777778,1.0,0.4840277777777778,0.6523163313055685,3485,0,3715,75.7196760854583,97.90196416264645,7434.667815299793
1080p_20220330_144234_recording_1648635300_87,0.5040688212043711,0.7556639944231439,0.6022222222222222,0.6702736126140052,2168,701,1432,72.05742574257425,95.1990099009901,6941.766336633664
0421080p_20230311_165308_recording_1678521960,0.8933333333333333,1.0,0.8933333333333333,0.943661971830986,3216,0,384,100.46562760924019,143.35346507097134,14404.972168104649
TOTAL,0.5295336881907733,0.9318817824489448,0.5508559919436052,0.692411932184558,174493,12755,142274,111.1141267622617,151.5130549045287,20780.610843431685
